trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,repeat_index,phase_mode,kp,ki,kd,desired_output,frequency_khz,test_invalid,test_note,strict_bad_rate,oscillation_rate,failure_categories,repeat_score_regression_pct,repeat_cancellation_decision,start_error,track_error,deviation,max_error,overshoot_pct,settling_time_s,rise_time_s,steady_state_error,iae,ise,itae,peak_value,peak_time_s,time_in_tolerance_s,time_to_first_tolerance_s,post_settle_variance,early_slope,oscillation_count,area_above_target,area_below_target,trace_duration_s,hold_duration_s,hold_mean_error,hold_variance,hold_drift,hold_time_in_tolerance_ratio,hold_oscillation_count,hold_quality,early_mean_error,early_max_error
1,bootstrap,1,1,0,0,1,warmup,0.15,0.14,0.05,400.0,10,1,no samples collected,1.0,1.0,high_oscillation|invalid_repeat,0.0,,999.0,999.0,999.0,999.0,100.0,nan,nan,999.0,999.0,999.0,999.0,nan,nan,0.0,nan,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,0.0,0.0,999.0,,
1,bootstrap,1,1,0,0,2,warmup,0.15,0.14,0.05,400.0,10,0,,0.0,0.0,,0.0,,18.0,1.717435897435895,3.0727061060144045,18.0,0.332499999999996,0.0,1.4999999999999998,-0.7788888888889005,17.344499999999975,88.62640500000003,66.8753999999999,401.33,10.799999999999999,11.7,0.0,9.441522813938205,9.444444444444445,0.0,1.1969999999999854,16.147499999999987,11.4,3.9000000000000012,-0.7953846153846484,1.0868556213017786,0.13690476190481604,1.0,0.0,1.1691395867590473,5.332857142857141,18.0
1,bootstrap,1,1,0,0,3,warmup,0.15,0.14,0.05,400.0,10,0,,0.0,0.0,,0.0,,25.670000000000016,2.529230769230766,4.886620034166447,25.670000000000016,0.75,0.3,1.4999999999999998,0.40666666666663787,25.69199999999996,204.08408999999992,88.24589999999979,403.0,10.2,11.400000000000002,0.3,8.6235335872576,13.150000000000011,0.0,6.494999999999977,19.196999999999985,11.4,3.9000000000000012,0.40923076923075996,2.513391715976321,0.3483333333333576,1.0,0.0,1.2302320801640176,8.66714285714286,25.670000000000016
2,bootstrap,2,2,0,0,1,warmup,0.27749999999999997,0.14,0.05,400.0,10,0,,0.0,0.0,,0.0,,15.329999999999984,2.0256410256410255,3.2091562790971455,15.329999999999984,0.75,0.0,1.4999999999999998,-0.0011111111111290484,21.250499999999995,98.01142499999995,80.83890000000008,403.0,6.3,11.7,0.0,10.298684023668635,7.777777777777779,0.0,5.703000000000014,15.547499999999987,11.4,3.9000000000000012,0.1284615384615222,1.1571822485207228,0.48880952380955023,1.0,0.0,0.8175117541726372,5.665714285714281,15.329999999999984
2,bootstrap,2,2,0,0,2,warmup,0.27749999999999997,0.14,0.05,400.0,10,0,,0.0,0.0,,0.0,,13.670000000000016,2.478717948717949,3.4033290543528856,13.670000000000016,0.9175000000000039,0.0,0.0,0.07444444444445253,26.55,113.65308,132.34230000000005,403.67,11.1,11.7,0.0,11.582648652202506,5.372222222222232,0.0,9.900000000000002,16.650000000000002,11.4,3.9000000000000012,0.1284615384615222,5.022136094674577,0.07095238095240575,1.0,0.0,1.2434594429018073,5.095714285714288,13.670000000000016
2,bootstrap,2,2,0,0,3,warmup,0.27749999999999997,0.14,0.05,400.0,10,0,,0.17857142857142858,0.0,,-29.335082721968355,,10.0,2.9310256410256383,3.640401625833355,10.0,1.25,0.0,0.0,-0.0022222222222580967,32.79299999999997,144.86606999999987,132.27299999999974,405.0,6.3,11.7,0.0,13.252523997370135,2.777777777777778,0.0,13.394999999999976,19.39799999999999,11.4,3.9000000000000012,0.02384615384613653,0.9811467455621248,0.14952380952382782,1.0,0.0,0.5692203031051624,5.287142857142864,10.0
3,bootstrap,3,3,0,0,1,warmup,0.27749999999999997,0.248375,0.05,400.0,10,0,,0.0,0.0,,0.0,,8.0,2.2897435897435856,2.7474528518088426,8.0,0.8324999999999961,0.0,0.0,-0.14888888888890506,25.390499999999957,79.96408499999983,146.72789999999983,403.33,7.5,11.7,0.0,7.548497172912541,2.777777777777778,0.0,11.092499999999964,14.297999999999991,11.4,3.9000000000000012,-0.10384615384617746,6.859992899408278,0.2919047619047319,1.0,0.0,1.496928308714982,3.569999999999993,8.0
3,bootstrap,3,3,0,0,2,warmup,0.27749999999999997,0.248375,0.05,400.0,10,1,"settled reading out of +/-5% (value=379.3300, target=400.0000)",0.8823529411764706,1.0,high_oscillation|invalid_repeat,0.0,,10.670000000000016,8.574482758620688,10.029074380867845,20.670000000000016,4.582499999999996,0.0,0.0,-2.7157142857143413,69.89699999999999,804.4947300000001,377.59590000000003,418.33,8.1,8.4,0.0,100.58233293697977,3.5222222222222404,6.0,32.499,37.397999999999996,8.4,3.0,-0.9680000000000177,232.71409599999998,5.536000000000058,0.9,9.0,66.42948477546828,5.904285714285712,10.670000000000016
3,bootstrap,3,3,0,0,3,warmup,0.27749999999999997,0.248375,0.05,400.0,10,0,did not settle,1.0,1.0,high_oscillation,0.0,two-strike cancellation: high_oscillation occurred in repeats 2 and 3,15.329999999999984,34.55564102564103,37.333312225268756,58.670000000000016,9.917500000000004,nan,0.0,-15.96222222222218,393.35100000000006,16222.320420000002,2700.7641,439.67,5.1,3.0,0.0,37.333312225268756,-0.1888888888889066,34.0,165.9,227.45100000000002,11.4,3.9000000000000012,-14.640769230769251,2076.112499408284,5.213809523809516,0.0,12.0,283.71794425792484,12.334285714285718,15.670000000000016
4,bootstrap,4,4,0,0,1,warmup,0.27749999999999997,0.14,0.08612500000000001,400.0,10,0,did not settle,1.0,1.0,high_oscillation,0.0,,22.670000000000016,39.273333333333326,40.69277013454453,68.0,9.5,nan,0.0,-18.074444444444453,449.29800000000006,21190.63275,2764.5777,438.0,2.6999999999999997,0.6000000000000001,0.3,40.69277013454453,-4.811111111111094,36.0,149.49599999999998,299.8020000000001,11.4,3.9000000000000012,-18.487692307692328,1748.7982331360947,1.1588095238095093,0.0,12.0,283.2096403014378,21.23857142857143,31.329999999999984
